eco,name,pgn,move,color,fen,master,lichess,white,draws,black
C41,Philidor Defense: Morphy Gambit,1. e4 e5 2. Nf3 d6 3. d4 exd4 4. Bc4,7,white,rnbqkbnr/ppp2ppp/3p4/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 4,PZeDAx7I,OyfWM51x,397287,30846,315181
B00,Owen Defense: Smith Gambit,1. e4 b6 2. d4 Bb7 3. Nf3,5,white,rn1qkbnr/pbpppppp/1p6/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,o5i0GYGy,,357873,27791,353484
D00,"Queen's Pawn Game: Chigorin Variation, Irish Gambit",1. d4 d5 2. Nc3 c5,4,black,rnbqkbnr/pp2pppp/8/2pp4/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 0 3,euEzyDHP,hMiqIjYC,329528,28485,320702
C39,King's Gambit Accepted: King's Knight's Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4,7,white,rnbqkbnr/pppp1p1p/8/6p1/4Pp1P/5N2/PPPP2P1/RNBQKB1R b KQkq - 0 4,SivhQWtT,LjLkP7QU,354701,22321,298941
C47,Four Knights Game: Halloween Gambit,1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Nxe5,7,white,r1bqkb1r/pppp1ppp/2n2n2/4N3/4P3/2N5/PPPP1PPP/R1BQKB1R b KQkq - 0 4,xGsi8M93,0lqSQnqM,341380,24402,284429
C20,King's Pawn Game: Beyer Gambit,1. e4 e5 2. d4 d5,4,black,rnbqkbnr/ppp2ppp/8/3pp3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,za8niPM4,,341957,25004,274625
A43,Queen's Pawn Game: Liedmann Gambit,1. d4 c5 2. c4 cxd4 3. e3,5,white,rnbqkbnr/pp1ppppp/8/8/2Pp4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,,iQfgF7hl,302418,24097,303563
A40,Englund Gambit Complex: Felbecker Gambit,1. d4 e5 2. dxe5 Nc6 3. Nf3 Bc5,6,black,r1bqk1nr/pppp1ppp/2n5/2b1P3/8/5N2/PPP1PPPP/RNBQKB1R w KQkq - 3 4,,rMPgxwIr,327323,24280,276819
C00,French Defense: Diemer-Duhm Gambit,1. e4 e6 2. d4 d5 3. c4,5,white,rnbqkbnr/ppp2ppp/4p3/3p4/2PPP3/8/PP3PPP/RNBQKBNR b KQkq - 0 3,4NpSyI0m,,314303,23663,285531
D00,Blackmar-Diemer Gambit Accepted: Ryder Gambit,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Qxf3,9,white,rnbqkb1r/ppp1pppp/5n2/8/3P4/2N2Q2/PPP3PP/R1B1KBNR b KQkq - 0 5,,8cksciov,314173,20827,285804
D15,Slav Defense: Geller Gambit,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. e4,9,white,rnbqkb1r/pp2pppp/2p2n2/8/2pPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 5,zVjZTTSg,apMtcQpA,302739,25688,285014
C43,Bishop's Opening: Urusov Gambit,1. e4 e5 2. Bc4 Nf6 3. d4 exd4 4. Nf3,7,white,rnbqkb1r/pppp1ppp/5n2/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 4,eTGxYEP2,5ICDHI2D,316380,26516,263174
A51,"A51 Indian Defense: Budapest Defense, Fajarowicz Gambit",1. d4 Nf6 2. c4 e5 3. dxe5 Ne4,6,black,rnbqkb1r/pppp1ppp/8/4P3/2P1n3/8/PP2PPPP/RNBQKBNR w KQkq - 1 4,7DxBFUgU,YA6tH284,277217,35164,278458
C31,"King's Gambit Declined: Falkbeer Countergambit, Charousek Gambit",1. e4 e5 2. f4 d5 3. exd5 e4 4. d3,7,white,rnbqkbnr/ppp2ppp/8/3P4/4pP2/3P4/PPP3PP/RNBQKBNR b KQkq - 0 4,AYcNYKvb,osGOJW1G,285552,26847,273175
A10,English Opening: Jaenisch Gambit,1. c4 b5,2,black,rnbqkbnr/p1pppppp/8/1p6/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,SH2UefqO,b6JdSkTc,279826,23197,264031
E81,"King's Indian Defense: Sämisch Variation, Sämisch Gambit",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 c5,12,black,rnbq1rk1/pp2ppbp/3p1np1/2p5/2PPP3/2N1BP2/PP4PP/R2QKBNR w KQ - 0 7,lFPBZEjB,OcE5SeAG,242971,29814,242286
C21,Center Game: Halasz-McDonnell Gambit,1. e4 e5 2. d4 exd4 3. f4,5,white,rnbqkbnr/pppp1ppp/8/8/3pPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,XQrsMoZK,StKoVAIT,255002,16364,241422
C41,Philidor Defense: Lopez Countergambit,1. e4 e5 2. Nf3 d6 3. Bc4 f5,6,black,rnbqkbnr/ppp3pp/3p4/4pp2/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,,7awxjIzN,246434,15676,231307
D10,Slav Defense: Diemer Gambit,1. d4 d5 2. c4 c6 3. e4,5,white,rnbqkbnr/pp2pppp/2p5/3p4/2PPP3/8/PP3PPP/RNBQKBNR b KQkq - 0 3,70oHe1ld,o0ZmzUjG,238475,19333,229087
D06,"Queen's Gambit Declined: Marshall Defense, Tan Gambit",1. d4 d5 2. c4 Nf6 3. cxd5 c6,6,black,rnbqkb1r/pp2pppp/2p2n2/3P4/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,1EErB5jc,Sce5X31C,241035,23448,219795
