action,eco,name,pgn,new_pgn,comment,master,lichess,white,draws,black
remove,B10,Caro-Kann Defense: Dinic Gambit,1. e4 c6 2. Nf3 d5 3. d3 dxe4 4. Ng5,,,,,,,
remove,B15,Caro-Kann Defense: Alien Gambit,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Ng5 h6 6. Nxf7,,,,,,,
remove,B18,Caro-Kann Defense: Martian Gambit,1. e4 c6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bf5 5. Ng5 Bg6 6. N1f3 h6 7. Ne6,,,,,,,
remove,B21,Sicilian Defense: Smith-Morra Gambit,1. e4 c5 2. d4,,,,,,,
remove,B22,"Sicilian Defense: Alapin Variation, Anti-Alapin Gambit",1. e4 c5 2. c3 d5 3. exd5 Nf6,,,,,,,
remove,C10,French Defense: Marshall Gambit,1. e4 e6 2. d4 d5 3. Nc3 c5,,,,,,,
remove,C15,"French Defense: McCutcheon Variation, Wolf Gambit",1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. Ne2 Nf6 5. Bg5,,,,,,,
remove,C15,"French Defense: Winawer Variation, Winckelmann-Reimer Gambit",1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 dxe4 6. f3,,,,,,,
remove,C33,King's Gambit Accepted: Villemson Gambit,1. e4 e5 2. f4 exf4 3. d4,,,,,,,
remove,C34,King's Gambit Accepted: King's Knight's Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5,,,,,,,
remove,C35,"King's Gambit Accepted: Cunningham Defense, Bertin Gambit",1. e4 e5 2. f4 exf4 3. Nf3 Be7 4. Bc4 Bh4+ 5. g3,,,,,,,
remove,C37,King's Gambit Accepted: Ghulam-Kassim Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. d4,,,,,,,
remove,C37,King's Gambit Accepted: Quaade Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Nc3,,,,,,,
remove,C42,"Petrov's Defense: Classical Attack, Marshall Variation, Chinese Gambit",1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Bd6 7. O-O O-O 8. c4 c6 9. Re1 Bg4,,,,,,,
remove,C42,Petrov's Defense: Cochrane Gambit,1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nxf7,,,,,,,
remove,C42,"Petrov's Defense: Damiano Variation, Kholmov Gambit",1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nxe4 4. Qe2 Qe7,,,,,,,
remove,C42,Petrov's Defense: Moody Gambit,1. e4 e5 2. Nf3 Nf6 3. Qe2 Nc6 4. d4,,,,,,,
remove,C42,Petrov's Defense: Stafford Gambit,1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nc6,,,,,,,
remove,C43,"Petrov's Defense: Modern Attack, Tal Gambit",1. e4 e5 2. Nf3 Nf6 3. d4 exd4 4. e5 Ne4 5. Bb5,,,,,,,
remove,C51,Italian Game: Evans Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bxb4 5. c3 Bc5 6. d4 exd4 7. O-O d6 8. cxd4 Bb6 9. Nc3 Bg4,,,,,,,
remove,C56,Italian Game: Scotch Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O,,,,,,,
remove,C56,"Italian Game: Scotch Gambit, Walbrodt-Baird Gambit",1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. O-O,,,,,,,
remove,C96,"Ruy Lopez: Closed, Chigorin Defense, Gajewski Gambit",1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 d6 8. c3 O-O 9. h3 Na5 10. Bc2 d5,,,,,,,
remove,D00,Blackmar-Diemer Gambit,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6,,,,,,,
remove,D00,"Blackmar-Diemer Gambit Accepted: Euwe Defense, Duthilleul Gambit",1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 e6 6. Bd3,,,,,,,
